Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
05/10/19-11:38:59:824,4,1032.00,18656.00,8060.44,22628.00,12427.00,19177.00,6877.00,11953.00,8464.00,
05/10/19-11:38:59:824,4,969.00,15554.00,5838.29,15850.00,14841.00,20274.00,6089.00,10453.00,7461.00,
05/10/19-11:38:59:824,4,1032.00,18696.00,7941.03,16964.00,16166.00,24968.00,6986.00,11962.00,8545.00,
05/10/19-11:38:59:824,4,1032.00,18696.00,8053.78,20429.00,17344.00,24824.00,6959.00,11951.00,8548.00,
05/10/19-11:38:59:824,4,1032.00,18696.00,8057.88,16380.00,18035.00,24936.00,6962.00,11940.00,8542.00,
05/10/19-11:38:59:824,4,1032.00,18696.00,8059.42,17041.00,16911.00,24862.00,6943.00,11946.00,8519.00,
05/10/19-11:38:59:824,4,1032.00,18696.00,8060.44,18230.00,17062.00,24909.00,6931.00,11934.00,8519.00,
05/10/19-11:38:59:824,4,1032.00,18696.00,8060.44,17319.00,19366.00,25269.00,6923.00,11929.00,8516.00,
05/10/19-11:38:59:824,4,1032.00,18696.00,8060.44,18779.00,17337.00,24935.00,6921.00,11933.00,8500.00,
05/10/19-11:38:59:824,4,1032.00,18697.00,8060.44,18380.00,16561.00,24772.00,6915.00,11931.00,8500.00,
05/10/19-11:38:59:824,4,1032.00,18696.00,8060.44,18437.00,18697.00,24952.00,6918.00,11928.00,8500.00,
05/10/19-11:38:59:824,4,1032.00,18696.00,8060.44,16006.00,17529.00,25232.00,6908.00,11919.00,8500.00,
05/10/19-11:39:59:824,4,1032.00,18696.00,8056.34,17795.00,18240.00,24885.00,6897.00,11928.00,8503.00,
05/10/19-11:39:59:824,4,1032.00,18696.00,8060.44,18636.00,18271.00,24875.00,6890.00,11930.00,8461.00,
05/10/19-11:39:59:824,4,907.00,15352.00,5805.49,15702.00,15517.00,21922.00,6087.00,10442.00,7461.00,
05/10/19-11:39:59:824,4,1032.00,18720.00,7938.47,17901.00,17353.00,24936.00,6975.00,11957.00,8564.00,
05/10/19-11:39:59:824,4,1032.00,18721.00,8053.78,17952.00,17313.00,24936.00,6961.00,11943.00,8554.00,
05/10/19-11:39:59:824,4,1032.00,18721.00,8056.34,17933.00,17335.00,24938.00,6946.00,11941.00,8547.00,
05/10/19-11:39:59:824,4,1032.00,18720.00,8057.88,17888.00,17338.00,24939.00,6943.00,11935.00,8534.00,
05/10/19-11:39:59:824,4,1032.00,18721.00,8059.42,17933.00,17320.00,24934.00,6937.00,11938.00,8525.00,
05/10/19-11:39:59:824,4,1032.00,18720.00,8059.93,17975.00,17359.00,24935.00,6920.00,11939.00,8515.00,
05/10/19-11:39:59:824,4,1032.00,18723.00,8060.44,17949.00,17304.00,24934.00,6922.00,11933.00,8511.00,
05/10/19-11:39:59:824,4,1032.00,18721.00,8060.44,17928.00,17357.00,24936.00,6911.00,11929.00,8511.00,
05/10/19-11:39:59:824,4,1032.00,18721.00,8060.44,17969.00,17321.00,24934.00,6917.00,11927.00,8511.00,
05/10/19-11:39:59:824,4,1032.00,18720.00,8060.44,17969.00,17330.00,24933.00,6910.00,11924.00,8511.00,
05/10/19-11:40:58:823,4,1032.00,18720.00,8056.34,17911.00,17352.00,24935.00,6909.00,11932.00,8534.00,
05/10/19-11:40:58:823,4,1032.00,18720.00,8059.42,17930.00,17298.00,24933.00,6900.00,11915.00,8474.00,
05/10/19-11:40:58:823,4,902.00,15139.00,5772.69,15654.00,15199.00,21894.00,6097.00,10448.00,7470.00,
05/10/19-11:40:58:823,4,1032.00,18739.00,7935.40,17938.00,17329.00,24935.00,6986.00,11958.00,8565.00,
05/10/19-11:40:58:823,4,1032.00,18741.00,8053.27,17935.00,17325.00,24938.00,6968.00,11955.00,8555.00,
05/10/19-11:40:58:823,4,1032.00,18743.00,8056.34,17935.00,17339.00,24937.00,6967.00,11961.00,8551.00,
05/10/19-11:40:58:823,4,1032.00,18743.00,8057.37,17936.00,17323.00,24938.00,6959.00,11949.00,8532.00,
05/10/19-11:40:58:823,4,1032.00,18743.00,8057.37,17924.00,17334.00,24935.00,6945.00,11939.00,8528.00,
05/10/19-11:40:58:823,4,1032.00,18742.00,8060.44,17926.00,17330.00,24936.00,6943.00,11947.00,8523.00,
05/10/19-11:40:58:823,4,1032.00,18743.00,8059.93,17932.00,17332.00,24935.00,6928.00,11942.00,8516.00,
05/10/19-11:40:58:823,4,1032.00,18743.00,8059.93,17932.00,17333.00,24938.00,6932.00,11930.00,8516.00,
