Calibration
Channel,Gain,Offset,Zero
0,1,0,0
1,1,0,0
2,0.51249,0,0
3,1,0,0
4,1,0,0
5,1,0,0
6,1,0,0
7,1,0,0
8,1,0,0
mm/dd/yy-hh:mm:ss:ms,Sch,Ch0,Ch1,Ch2,Ch3,Ch4,Ch5,Ch6,Ch7,Ch8
06/28/19-16:35:10:953,3,971.00,16970.00,8240.84,18206.00,18079.00,24779.00,6837.00,12725.00,8806.00,
06/28/19-16:35:10:953,3,972.00,16969.00,8240.84,18098.00,18014.00,24906.00,6847.00,12739.00,8806.00,
06/28/19-16:35:11:170,3,972.00,16970.00,8238.28,17593.00,18086.00,24903.00,6846.00,12745.00,8852.00,
06/28/19-16:35:11:170,3,970.00,16969.00,8236.74,17481.00,18032.00,24985.00,6845.00,12747.00,8858.00,
06/28/19-16:35:11:170,3,972.00,16968.00,8236.74,17525.00,17770.00,24968.00,6837.00,12746.00,8846.00,
06/28/19-16:35:11:170,3,973.00,16968.00,8235.71,17745.00,17848.00,24821.00,6838.00,12739.00,8851.00,
06/28/19-16:35:11:170,3,973.00,16969.00,8235.71,18110.00,17826.00,24799.00,6846.00,12738.00,8823.00,
06/28/19-16:35:11:170,3,972.00,16969.00,8238.28,18247.00,17867.00,24883.00,6842.00,12734.00,8803.00,
06/28/19-16:35:11:170,3,975.00,16970.00,8239.81,17839.00,17926.00,24918.00,6838.00,12725.00,8796.00,
06/28/19-16:35:11:170,3,975.00,16969.00,8240.84,17783.00,17949.00,24931.00,6843.00,12725.00,8792.00,
06/28/19-16:35:11:170,3,973.00,16969.00,8240.84,17934.00,17918.00,24892.00,6848.00,12718.00,8799.00,
06/28/19-16:35:11:170,3,974.00,16973.00,8240.84,18171.00,17867.00,24754.00,6841.00,12726.00,8796.00,
06/28/19-16:35:11:170,3,973.00,16970.00,8240.84,18277.00,17977.00,24779.00,6843.00,12726.00,8796.00,
06/28/19-16:35:11:170,3,972.00,16970.00,8240.84,18271.00,18009.00,24928.00,6843.00,12726.00,8796.00,
06/28/19-16:35:11:170,3,974.00,16971.00,8240.84,17836.00,17889.00,24884.00,6837.00,12726.00,8796.00,
06/28/19-16:35:11:387,3,972.00,16970.00,8237.76,17597.00,17867.00,24821.00,6845.00,12725.00,8809.00,
06/28/19-16:35:11:387,3,971.00,16969.00,8236.74,17762.00,17918.00,24815.00,6843.00,12724.00,8813.00,
06/28/19-16:35:11:387,3,972.00,16968.00,8236.74,18114.00,17945.00,24808.00,6849.00,12728.00,8806.00,
06/28/19-16:35:11:387,3,973.00,16968.00,8236.74,18167.00,18011.00,24814.00,6834.00,12725.00,8811.00,
06/28/19-16:35:11:387,3,973.00,16970.00,8235.71,17944.00,17965.00,24898.00,6846.00,12715.00,8798.00,
06/28/19-16:35:11:387,3,974.00,16969.00,8237.76,17703.00,17919.00,24883.00,6842.00,12722.00,8797.00,
06/28/19-16:35:11:387,3,973.00,16970.00,8239.81,17556.00,17905.00,24793.00,6841.00,12724.00,8789.00,
06/28/19-16:35:11:387,3,971.00,16968.00,8240.84,17668.00,17964.00,24812.00,6848.00,12725.00,8795.00,
06/28/19-16:35:11:387,3,972.00,16969.00,8240.84,18029.00,18127.00,24793.00,6842.00,12737.00,8790.00,
06/28/19-16:35:11:387,3,973.00,16972.00,8240.84,18125.00,17935.00,24793.00,6842.00,12722.00,8788.00,
06/28/19-16:35:11:387,3,972.00,16971.00,8240.84,17814.00,17934.00,24822.00,6837.00,12728.00,8788.00,
06/28/19-16:35:11:387,3,972.00,16971.00,8240.84,17567.00,17750.00,24790.00,6841.00,12723.00,8788.00,
06/28/19-16:35:11:387,3,972.00,16970.00,8240.84,17952.00,17524.00,24795.00,6833.00,12727.00,8788.00,
06/28/19-16:35:11:604,3,974.00,16973.00,8238.28,17812.00,17396.00,24694.00,6832.00,12742.00,8843.00,
06/28/19-16:35:11:604,3,969.00,16968.00,8236.74,18514.00,17834.00,24761.00,6834.00,12741.00,8837.00,
06/28/19-16:35:11:604,3,970.00,16970.00,8236.74,18658.00,17338.00,24851.00,6828.00,12741.00,8841.00,
06/28/19-16:35:11:604,3,972.00,16969.00,8236.23,17962.00,17414.00,24725.00,6830.00,12736.00,8833.00,
06/28/19-16:35:11:604,3,972.00,16971.00,8236.74,17915.00,17759.00,24800.00,6829.00,12728.00,8815.00,
06/28/19-16:35:11:604,3,972.00,16968.00,8237.76,17793.00,17997.00,24822.00,6834.00,12723.00,8787.00,
06/28/19-16:35:11:604,3,973.00,16969.00,8239.81,17797.00,18366.00,24776.00,6836.00,12726.00,8782.00,
06/28/19-16:35:11:604,3,973.00,16969.00,8240.84,18216.00,17648.00,24763.00,6837.00,12726.00,8782.00,
06/28/19-16:35:11:604,3,971.00,16972.00,8240.84,18133.00,18669.00,24711.00,6828.00,12727.00,8790.00,
06/28/19-16:35:11:604,3,973.00,16972.00,8240.84,18143.00,18575.00,24742.00,6831.00,12726.00,8800.00,
06/28/19-16:35:11:604,3,971.00,16971.00,8240.84,17639.00,18666.00,24707.00,6837.00,12728.00,8800.00,
06/28/19-16:35:11:604,3,972.00,16971.00,8240.84,18094.00,18316.00,24770.00,6841.00,12720.00,8800.00,
06/28/19-16:35:11:604,3,975.00,16972.00,8240.84,17916.00,19031.00,24759.00,6833.00,12720.00,8800.00,
06/28/19-16:35:11:821,3,970.00,16968.00,8238.28,17960.00,18502.00,24752.00,6837.00,12725.00,8810.00,
06/28/19-16:35:11:821,3,972.00,16968.00,8236.74,18173.00,18035.00,24809.00,6832.00,12730.00,8814.00,
06/28/19-16:35:11:821,3,970.00,16969.00,8236.74,17559.00,17910.00,24742.00,6836.00,12722.00,8810.00,
06/28/19-16:35:11:821,3,972.00,16968.00,8236.74,17456.00,17886.00,24730.00,6840.00,12718.00,8808.00,
06/28/19-16:35:11:821,3,970.00,16968.00,8236.23,18141.00,17314.00,24757.00,6826.00,12728.00,8792.00,
06/28/19-16:35:11:821,3,975.00,16969.00,8238.28,17930.00,16841.00,24646.00,6841.00,12727.00,8781.00,
